"name","address","phone","U-pick pumpkins","Mazes & events","Rides","Seasonal treats","Fall décor","description","more","farm","features","url"
"<a href='http://www.bloomriver.com'>Bloom River Gardens</a>","39744 Deerhorn Road Springfield OR","541-726-8997",,,,"&check;",,"Honeycrisp apples and fresh apple cider are sold at the farm stand with apples available from September through November. Weekend hours: 10 a.m. to 5 p.m. Saturday and Sunday.",,"Bloom River Gardens","T","http://www.bloomriver.com"
"Bush’s Fern View Farms","90536 Territorial Highway Junction City OR","541-935-6362","&check;","&check;",,"&check;","&check;","Fall harvest highlights include a U-pick pumpkin patch, a hay maze (no charge), freshly pressed apple cider made from farm apples, 15 to 20 varieties of apples, and plenty of fall décor, including corn stalks and gourds. Open through Oct. 31. Weekend hours: 11 a.m. to 6 p.m. Saturdays and noon to 5 p.m. Sundays.",,"Bush’s Fern View Farms","PMTF",
"<a href='http://www.deteringorchards.com'>Detering Orchards</a>","30946 Wyatt Drive Harrisburg OR","541-995-6341","&check;","&check;","&check;","&check;","&check;","Weekend events continue through October, with Oktoberfest, today and SaturdaySept. 27-28; Apple Daze Kickoff, Oct. 4-5; Apple Daze Fall Harvest, Oct. 11-12; Apple Daze and Pumpkins, Oct. 18-19; Apple Daze and Halloween Costume Contest, Oct. 26-27. Highlights throughout October include a family-friendly corn maze; fall décor, including fall and winter squash, pumpkins, gourds, corn stalks, hay bales and more; apple cobbler and apple cider; hay maze and tractor rides for kids; and a U-pick pumpkin patch. Weekend hours: 8 a.m. to 7 p.m. Saturdays and 8 a.m. to 6 p.m. Sundays.",,"Detering Orchards","PMHTF","http://www.deteringorchards.com"
"FOOD for Lane County’s Youth Farm","705 Flamingo Ave. Springfield OR","541-284-3703",,,,"&check;",,"Support feeding Lane County’s hungry as well as the good works of volunteer youths with pumpkin and other fall produce purchases at the farmstand through October. The stand is open 10 a.m. to 2 p.m. Saturdays.",,"FOOD for Lane County’s Youth Farm","T",
"Groundwork Organics","91360 River Road Eugene OR","541-998-0900","&check;",,,,,"U-pick pumpkin patch opens early October; fall harvest includes pumpkins, gourds, apples. Weekend hours: 9 a.m. to 6 p.m. Saturdays and Sundays.",,"Groundwork Organics","P","http://www.groundworkorganics.com"
"<a href='http://www.hentzefarm.com'>Hentze Family Farm</a>","30045 Hentze Lane Junction City OR","541-998-8944","&check;","&check;","&check;","&check;","&check;","Fall harvest highlights through October include rides to the U-pick pumpkin patch; barbecue every weekend; seasonal produce such as beets, carrots, pumpkins, apples, pears, etc.; also, Night Walk, featuring an acre of illuminated trails decorated with giant carved jack-o’-lanterns , is Oct. 18-19, Oct. 25-26, and Oct. 31Halloween night (for all ages; $5). Weekend hours: 9 a.m. to 6 p.m. Saturdays and Sundays through Thanksgiving.",,"Hentze Family Farm","PMHTF","http://www.hentzefarm.com"
"<a href='http://www.herrickfarms.com'>Herrick Farms</a>","88088 Millican Road Springfield OR","541-741-1046","&check;",,"&check;","&check;","&check;","Fall harvest highlights include hayrides around the farm ($1 per person) to U-pick pumpkin patch; fall décor such as gourds and corn stalks; fall produce such as apples and pears; and locally made goodies including Paula Herrick’s Jams and Jellies, various pickled goods, Kopper Kettle caramel corns and caramel apples. Weekend hours: 9 a.m. to 6 p.m. Saturdays and Sundays, through December.",,"Herrick Farms","PHTF","http://www.herrickfarms.com"
"Johnson Vegetable Farms","89733 Armitage Road Eugene OR","541-343-9594","&check;","&check;","&check;","&check;",,"Crazy Hayrides are here, folks, complete with gourd tossing, bungee launching and pelting scarecrows in the fields with “ammo” provided ($5 per person). U-pick pumpkins are an additional cost. The farm stand includes plenty of seasonal produce and tasty snacks such as pumpkin pie. There is also an indoor hay maze. Weekend hours: 10 a.m. to 6 p.m. Saturdays and Sundays, with last hay ride leaving at 5:30 p.m.",,"Johnson Vegetable Farms","PMHT",
"<a href='http://www.lonepinefarms.com'>Lone Pine Farms</a>","91909 River Road Junction City OR","541-688-4389","&check;","&check;","&check;","&check;",,"Offers a trove of seasonal produce and tasty treats, Lone Pine Farms has many seasonal activities guaranteed to fill several hours of a beautiful autumn day — or in some cases, evening. Attractions including the Pumpkin Patch Express, with transport to the U-pick pumpkin patches via either tractor-drawn wagon ($5 for ages 1 and older) or draft-horse drawn wagon (weekends only and weather permitting, $4 for ages 1 and older); the Cowtrain Trail with rides over the grassy knolls ($4.50 for ages 3 and older); and the Corn Maze, with both a nonhaunted version for the daytime (10 a.m. to 5 p.m. daily; $5 ages 11 and younger, $7 ages 12 and older) and a haunted version weekend nights only (7 p.m. to 10 p.m.; $18 Friday and Saturday, $15 Sunday), with a special haunting planned on Friday, Oct. 31. The Barnyard Cafe (weekends only) serves seasonal treats such as caramel apples, pumpkin spice, apple cider donuts, hot apple cider and more. Weekend hours: 9 a.m. to 7 p.m. Saturdays and Sundays, through Oct. 31, unless otherwise noted.",,"Lone Pine Farms","PMHT","http://www.lonepinefarms.com"
"<a href='http://lonesome-whistle.myshopify.com'>Lonesome Whistle Farm & Cultivation Jewelry</a>","92112 River Road Junction City OR","541-234-4744",,,,"&check;",,"This farm grows rare and heirloom varieties of beans, grains, corn and seeds. Available for purchase at the farm stand are freshly stone-ground grains, gourmet popcorn and heirloom bean jewelry. Weekend hours: 10 a.m. to 6 p.m. Saturdays and Sundays.",,"Lonesome Whistle Farm & Cultivation Jewelry","T","lonesome-whistle.myshopify.com"
